Car_ID,Car_Name,Brand,Segment,Fuel_Type,Model_Year,Region,Sales_Amount,Units_Sold,Profit,Rating,Mileage_kmpl,Transmission,Image_URL,Engine_CC,Top_Speed_kmph,Safety_Rating,Launch_Price_INR_Lakhs,Range_km
1,Swift,Maruti,Hatchback,Petrol,2023,South,4500000,25,800000,4.2,22,Manual,https://i.pinimg.com/736x/78/59/5a/78595a530097a004b650a6898b8f923d.jpg,1197,160,4,6.0,0
2,Baleno,Maruti,Hatchback,Petrol,2022,North,6000000,35,1000000,4.4,21,Automatic,https://i.pinimg.com/1200x/d7/36/5b/d7365bd51a050cbc23d8bdfe7e78e194.jpg,1197,170,4,7.5,0
3,Creta,Hyundai,SUV,Diesel,2024,West,7500000,40,1500000,4.5,18,Automatic,https://i.pinimg.com/1200x/d0/0b/17/d00b175fe6ed81e97a65ac0807422c88.jpg,1498,180,5,10.0,0
4,Venue,Hyundai,SUV,Petrol,2023,East,5000000,28,900000,4.3,20,Manual,https://i.pinimg.com/736x/69/35/ae/6935ae685ef9f8ab3eba91a5f1b6aff6.jpg,1199,175,4,9.0,0
5,Nexon,Tata,EV,Electric,2024,South,9000000,50,1800000,4.6,0,Automatic,https://i.pinimg.com/1200x/d0/da/b7/d0dab797d152cb4a19fc9971d0609ad9.jpg,0,150,5,14.0,0
6,Fronx,Maruti,Crossover,Petrol,2024,South,9500000,50,1800000,4.5,20,Manual,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/FRONX/11719/1729155966932/front-left-side-47.jpg,1197,170,4,9.5,0
7,Tiago EV,Tata,Hatchback,Electric,2024,West,11000000,70,2100000,4.6,0,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/Tata/Tiago-EV/11745/1729157182327/front-left-side-47.jpg,0,120,5,11.0,315
8,Scorpio N,Mahindra,SUV,Diesel,2024,North,18000000,75,4000000,4.7,14,Manual,https://stimg.cardekho.com/images/carexteriorimages/930x620/Mahindra/Scorpio-N/11749/1729156953944/front-left-side-47.jpg,2198,185,5,19.5,0
9,Sonet,Kia,SUV,Petrol,2024,East,12000000,65,2500000,4.6,18,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/Kia/Sonet/11725/1729155873132/front-left-side-47.jpg,1197,170,4,11.5,0
10,Carens,Kia,MUV,Petrol,2024,South,16000000,80,3500000,4.7,16,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/Kia/Carens/11722/1729155803277/front-left-side-47.jpg,1497,180,5,17.0,0
11,Invicto,Maruti,MPV,Hybrid,2024,West,24000000,90,5000000,4.8,24,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Invicto/11720/1729155993859/front-left-side-47.jpg,1987,175,5,24.8,480
12,Comet EV,MG,Hatchback,Electric,2024,East,9000000,60,1900000,4.5,0,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/MG/Comet-EV/11737/1729157010645/front-left-side-47.jpg,0,100,4,9.0,230
13,Astor,MG,SUV,Petrol,2023,North,18000000,70,3800000,4.6,15,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/MG/Astor/11736/1729156994113/front-left-side-47.jpg,1498,175,5,14.3,0
14,Verna,Hyundai,Sedan,Petrol,2024,South,14000000,65,3100000,4.7,18,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/Hyundai/Verna/11732/1729157096693/front-left-side-47.jpg,1482,190,5,15.2,0
15,Creta EV,Hyundai,SUV,Electric,2025,West,25000000,100,5800000,4.8,0,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/Hyundai/Creta-EV/11731/1729157081863/front-left-side-47.jpg,0,170,5,25.0,460
16,Tigor EV,Tata,Sedan,Electric,2024,North,13000000,80,2700000,4.6,0,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/Tata/Tigor-EV/11746/1729157197680/front-left-side-47.jpg,0,120,4,13.0,315
17,Camry Hybrid,Toyota,Sedan,Hybrid,2024,East,48000000,110,10000000,4.9,23,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/Toyota/Camry/11734/1729157048253/front-left-side-47.jpg,2487,180,5,45.0,550
18,Baleno CNG,Maruti,Hatchback,CNG,2024,South,8500000,55,1600000,4.4,30,Manual,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Baleno/11718/1729155943712/front-left-side-47.jpg,1197,160,4,8.3,0
19,Punch,Tata,Compact SUV,Petrol,2024,West,9000000,60,1900000,4.5,18,Manual,https://stimg.cardekho.com/images/carexteriorimages/930x620/Tata/Punch/11742/1729157125067/front-left-side-47.jpg,1199,160,5,8.0,0
